Humidity: 50.00 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.34 *C 83.01 *F
Humidity: 49.90 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.33 *C 82.99 *F
Humidity: 49.80 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.32 *C 82.98 *F
Humidity: 49.70 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.31 *C 82.96 *F
Humidity: 49.70 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.31 *C 82.96 *F
Humidity: 50.30 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.36 *C 83.05 *F
Humidity: 50.90 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.42 *C 83.15 *F
Humidity: 51.40 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.46 *C 83.23 *F
Humidity: 51.70 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.49 *C 83.28 *F
Humidity: 51.50 %	Temperature: 27.90 *C 82.22 *F	Heat index: 28.47 *C 83.25 *F
